vdnumber,registered,valid,spoilt,total
10820146,623,479,1,480
43550018,1803,1130,12,1142
76420021,3204,1910,19,1929
32850312,2087,1501,4,1505
43417694,518,354,11,365
33020019,3959,3004,11,3015
22820071,1338,1474,18,1492
11750150,576,386,14,400
43720017,1435,1023,14,1037
76190519,958,690,13,703
33000040,3825,2867,14,2881
22410177,399,652,9,661
10590319,1799,1624,16,1640
43773295,937,574,15,589
11630113,755,585,3,588
11071213,384,322,5,327
76250808,752,348,10,358
43730131,1133,955,6,961
22170079,761,614,17,631
33020288,2634,1773,17,1790
86554277,293,244,2,246
10910663,326,223,2,225
33250643,1813,1492,16,1508
76251236,314,192,2,194
54440074,504,406,5,411
97141035,2510,2003,1,2004
43502318,495,334,10,344
65370034,1449,1159,41,1200
76480432,635,384,0,384
54790320,2254,1679,29,1708
33020097,2767,2158,28,2186
10300228,3119,2296,8,2304
54540615,524,474,3,477
10950061,919,560,11,571
43670527,1358,1073,17,1090
11631024,360,190,13,203
86740634,885,534,12,546
76430066,520,429,2,431
54410385,116,128,1,129
10920440,127,92,2,94
54740134,692,503,13,516
76370698,360,211,0,211
65190023,1373,930,81,1011
98280085,2190,1447,17,1464
32950807,1729,1300,10,1310
11070559,620,389,8,397
86820936,180,123,2,125
97120571,2034,1523,19,1542
32850817,3574,2170,30,2200
97550095,663,341,4,345
86991250,571,384,4,388
43504769,338,296,4,300
22421663,290,223,3,226
33250339,2980,2138,32,2170
32910263,5520,2683,84,2767
86992138,686,376,1,377
76450484,241,239,2,241
98380154,1778,1201,16,1217
54260298,1484,1300,29,1329
10790591,524,373,9,382
43622142,89,57,10,67
11080897,587,431,2,433
11071785,46,29,0,29
76150032,2499,1415,23,1438
76370700,637,378,3,381
10790681,248,192,3,195
86600055,1619,1187,28,1215
97120223,1967,1259,0,1259
43621028,967,652,19,671
22590132,1693,1156,18,1174
11640248,355,257,2,259
11580892,473,266,14,280
43773093,503,389,2,391
86551375,1072,724,17,741
76390106,1085,576,112,688
64980030,1440,1018,20,1038
43416918,845,667,17,684
10250817,2382,1588,28,1616
43990184,811,620,14,634
