OBJECTID,FKLPROVID,SPROVINCE,FKLMUNICID,SMUNICIPAL,FKLWARDID,PKLVDNUMBE
16822,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703028.00000,76230097.00000
16823,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703030.00000,76230109.00000
16824,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703029.00000,76230110.00000
16825,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703029.00000,76230121.00000
16826,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703026.00000,76230132.00000
16827,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703030.00000,76230143.00000
16828,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703031.00000,76230154.00000
16829,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703020.00000,76230165.00000
16830,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703026.00000,76230176.00000
16831,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703024.00000,76230187.00000
16832,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703026.00000,76230198.00000
16833,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703026.00000,76230200.00000
16834,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703031.00000,76230211.00000
16835,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703024.00000,76230222.00000
16836,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703025.00000,76230233.00000
16837,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703028.00000,76230244.00000
16838,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703028.00000,76230255.00000
16839,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701013.00000,76230266.00000
16840,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703029.00000,76230277.00000
16841,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703031.00000,76230288.00000
16842,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703029.00000,76230299.00000
16843,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703027.00000,76230301.00000
16844,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703029.00000,76230312.00000
16845,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701013.00000,76230323.00000
16846,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703025.00000,76230334.00000
16847,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703025.00000,76230345.00000
16848,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701013.00000,76230356.00000
16849,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703031.00000,76230367.00000
16850,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703026.00000,76230378.00000
16851,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703031.00000,76230389.00000
16852,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703026.00000,76230390.00000
16853,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703031.00000,76230402.00000
16854,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703025.00000,76230413.00000
16855,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703030.00000,76230424.00000
16856,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703031.00000,76230435.00000
16857,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703024.00000,76230446.00000
16858,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703025.00000,76230457.00000
16859,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703024.00000,76230468.00000
16860,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703020.00000,76230479.00000
16861,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703028.00000,76230480.00000
16862,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703019.00000,76230503.00000
16863,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703025.00000,76230514.00000
16864,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703010.00000,76230525.00000
16865,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703025.00000,76230536.00000
16866,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701013.00000,76230547.00000
16867,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701013.00000,76230558.00000
